latitude,longitude,altitude(feet),ascent(feet),speed(mph),distance(feet),time(millisecond),datetime(utc),satellites,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),compass_heading(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,flycStateRaw,flycState,message
-34.207224599733,18.8330316909493,368.79745930808,0,0,0,0,2017-05-24 07:57:22,13,0,368.79745930808,0,0,0,221.2,0,1,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072244021015,18.8330317892803,368.79745930808,0,0,0.077971459188,200,2017-05-24 07:57:22,13,0,368.79745930808,0,0,0.077971459188,221.2,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072243986146,18.8330317924842,368.79745930808,0,0,0.079516734828,400,2017-05-24 07:57:22,13,0,368.79745930808,0,0,0.079516734828,221.2,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072243902657,18.8330317947826,368.79745930808,0,0,0.082596459336,600,2017-05-24 07:57:23,13,0,368.79745930808,0,0,0.082596459336,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072243960327,18.8330318898893,368.79745930808,0,0,0.095533795708,800,2017-05-24 07:57:23,13,0,368.79745930808,0,0,0.095533795708,221.2,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072242999861,18.8330318877629,368.79745930808,0,0,0.124445870124,1000,2017-05-24 07:57:23,13,0,368.79745930808,0,0,0.124445870124,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.207224302057,18.8330318868693,368.79745930808,0,0,0.12365321918,1100,2017-05-24 07:57:23,13,0,368.79745930808,0,0,0.124445870124,221.3,0,0,1024,1024,1024,1024,0,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072243030723,18.8330318870493,368.79745930808,0,0,0.123354006572,1200,2017-05-24 07:57:23,13,0,368.79745930808,0,0,0.124445870124,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072243039968,18.8330318850229,368.79745930808,0,0,0.122765423876,1300,2017-05-24 07:57:23,13,0,368.79745930808,0,0,0.124445870124,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072242042977,18.8330319816812,368.79745930808,0,0,0.168850727188,1400,2017-05-24 07:57:23,13,17.017,368.79745930808,0,0,0.168850727188,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072240974343,18.8330319838462,368.46937530808,-0.328084,0,0.203459980264,1700,2017-05-24 07:57:24,13,17.017,368.79745930808,0,0,0.203459980264,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.207224092873,18.8330319852555,368.14129130808,-0.656168,0,0.205144035436,1800,2017-05-24 07:57:24,13,17.017,368.79745930808,0,0,0.205144035436,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072240927101,18.8330319853206,367.81320730808,-0.984252,0,0.205206043312,1900,2017-05-24 07:57:24,13,17.017,368.79745930808,0,0,0.205206043312,221.3,0,0,1024,1024,1024,1024,0,0,96,4.259,4.258,4.259,4.255,0,0,6,GPS_Atti,
-34.2072239993023,18.8330319794586,367.81320730808,-0.984252,0,0.235729666336,2000,2017-05-24 07:57:24,13,17.017,368.79745930808,0,0,0.235729666336,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,11,AutoTakeoff,Taking off
-34.2072238955881,18.8330319855927,367.15703930808,-1.64042,0,0.271854667492,2200,2017-05-24 07:57:24,13,17.017,368.79745930808,0,0,0.271854667492,221.4,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,11,AutoTakeoff,
-34.2072239879982,18.8330319884342,366.82895530808,-1.968504,0,0.240564640244,2400,2017-05-24 07:57:24,13,17.017,368.79745930808,0,0,0.271854667492,221.4,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,11,AutoTakeoff,
-34.2072239919313,18.8330319859212,366.50087130808,-2.296588,0,0.238950466964,2500,2017-05-24 07:57:24,13,17.017,368.79745930808,0,0,0.271854667492,221.4,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,11,AutoTakeoff,
-34.2072238976791,18.833031980378,366.17278730808,-2.624672,0,0.270622055904,2600,2017-05-24 07:57:25,13,17.017,368.79745930808,0,0,0.271854667492,221.4,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,11,AutoTakeoff,
-34.207223902347,18.8330319724649,365.51661930808,-3.28084,0,0.268245087324,2700,2017-05-24 07:57:25,13,17.017,368.79745930808,0,0,0.271854667492,221.4,0,0,1024,1024,1024,1024,221.3,0,96,4.259,4.258,4.259,4.255,0,0,11,AutoTakeoff,
-34.2072239042236,18.8330319624961,364.86045130808,-3.937008,0,0.266656176512,2800,2017-05-24 07:57:25,13,16.936,368.79745930808,0,0,0.271854667492,221.4,0,0,1024,1024,1024,1024,221.3,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
-34.2072239255097,18.8330319443716,364.20428330808,-4.593176,0,0.257600730028,2900,2017-05-24 07:57:25,13,16.936,368.79745930808,0,0,0.271854667492,221.2,0,0,1024,1024,1024,1024,221.3,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
-34.2072239656937,18.8330318305892,363.54811530808,-5.249344,0,0.235134850044,3000,2017-05-24 07:57:25,13,16.936,368.79745930808,0,0,0.271854667492,221.1,0,0,1024,1024,1024,1024,221.3,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
-34.2072240153241,18.8330317793121,363.22003130808,-5.577428,0.223694,0.214881568556,3100,2017-05-24 07:57:25,13,16.936,368.79745930808,0,0.223694,0.271854667492,221.3,0,0,1024,1024,1024,1024,221.3,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
-34.2072240658243,18.8330317082931,363.22003130808,-5.577428,0.3131716,0.194866476052,3200,2017-05-24 07:57:25,13,16.936,368.79745930808,0,0.3131716,0.271854667492,221.5,0,0,1024,1024,1024,1024,221.3,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
-34.2072241736164,18.8330315702624,363.54811530808,-5.249344,0.3131716,0.159676186212,3300,2017-05-24 07:57:25,13,16.936,368.79745930808,0,0.3131716,0.271854667492,221.8,0,0,1024,1024,1024,1024,221.3,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
-34.2072242832069,18.8330313383729,363.87619930808,-4.92126,0.3131716,0.157016737308,3400,2017-05-24 07:57:25,13,16.936,368.79745930808,0,0.3131716,0.271854667492,222,0,0,1024,1024,1024,1024,221.3,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
-34.2072244206168,18.8330311759197,363.87619930808,-4.92126,0.3131716,0.168583666812,3500,2017-05-24 07:57:26,13,16.936,368.79745930808,0,0.3131716,0.271854667492,222.1,0,0,1024,1024,1024,1024,221.3,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
-34.207224521833,18.8330308870898,363.87619930808,-4.92126,0.3131716,0.244211293904,3600,2017-05-24 07:57:26,13,16.936,368.79745930808,0,0.3131716,0.271854667492,222.2,0,0,1024,1024,1024,1024,221.4,0,96,4.255,4.253,4.248,4.241,0,0,11,AutoTakeoff,
